LSTM
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.28541083333333334, 1.5312222681417564, 0.3019516666666667, 1.4741268614323935]
[1, 0.30182041666666665, 1.5040065048692126, 0.29356333333333334, 1.5144632978693644]
[2, 0.3189108333333333, 1.4700628671364984, 0.30403833333333335, 1.5046815768178303]
[3, 0.31756, 1.4732047890876234, 0.30828833333333333, 1.4806545746485393]
[4, 0.3266291666666667, 1.4560963939510783, 0.33042166666666667, 1.4548499380874633]
[5, 0.31927125, 1.4724077829033633, 0.31321666666666664, 1.4868894131088257]
[6, 0.3150179166666667, 1.4750838249808549, 0.30698, 1.480904774500529]
[7, 0.32488041666666667, 1.4570320264968275, 0.328935, 1.4595700242869059]
[8, 0.3341045833333333, 1.44238435689797, 0.31513833333333335, 1.4745409590657552]
[9, 0.33199, 1.4521899358844261, 0.269485, 1.5503506529871622]
[10, 0.2932895833333333, 1.5124086003316441, 0.30477, 1.5032043613942465]
[11, 0.33071833333333334, 1.4585001157784463, 0.31116666666666665, 1.4964453035227459]
[12, 0.29137083333333336, 1.5172119851469497, 0.27395, 1.5428280372873941]
[13, 0.28527166666666665, 1.5260268498748044, 0.276335, 1.5390570985794068]
[14, 0.2890875, 1.5203163425766428, 0.27437333333333336, 1.542457041714986]
[15, 0.28932458333333333, 1.5188909051213662, 0.281525, 1.533090230662028]
[16, 0.29675208333333336, 1.5092362356222668, 0.28335166666666667, 1.5313389908091226]
[17, 0.30169083333333335, 1.502661287899067, 0.2849966666666667, 1.5297668887456257]
[18, 0.3048575, 1.4989315194833774, 0.29219333333333336, 1.5204064930216472]
[19, 0.3138154166666667, 1.4865832783952355, 0.2968016666666667, 1.5143633988189698]
[20, 0.3223083333333333, 1.4738158831734955, 0.307405, 1.5025211581293743]
[21, 0.3231629166666667, 1.4717404209792615, 0.31263, 1.4926862661997478]
[22, 0.33785875, 1.4454686030484736, 0.32947666666666664, 1.4580334708786011]
[23, 0.35301666666666665, 1.4090953079089523, 0.34328, 1.4352694183731078]
[24, 0.3564333333333333, 1.4042312165288626, 0.34484166666666666, 1.4256042300160725]
[25, 0.35523166666666667, 1.399808239790698, 0.332635, 1.446643074684143]
[26, 0.3158608333333333, 1.482233290670365, 0.29106333333333334, 1.5260850329844158]
[27, 0.30326166666666665, 1.504543957951963, 0.2871516666666667, 1.5301767998886109]
[28, 0.3041175, 1.503441438636581, 0.2882616666666667, 1.527924708404541]
[29, 0.30523375, 1.5021059753508865, 0.28916, 1.5269507083765665]
[30, 0.30649666666666664, 1.5007914974803727, 0.2892733333333333, 1.5292142582448323]
[31, 0.3086758333333333, 1.4981395276129743, 0.291805, 1.5266258185195922]
[32, 0.31335166666666664, 1.4924679901989302, 0.29895333333333335, 1.5175808941396078]
[33, 0.3198708333333333, 1.4819999961360295, 0.30074666666666666, 1.514977877667745]
[34, 0.322155, 1.4760636975877484, 0.30234, 1.5105800253041586]
[35, 0.32131375, 1.47511997363319, 0.298805, 1.5139801729329427]
[36, 0.31893083333333333, 1.481132610079348, 0.29375, 1.522502710316976]
[37, 0.30952166666666664, 1.4957454265162349, 0.29543, 1.520322677675883]
[38, 0.31779, 1.4822190068470438, 0.30297, 1.5110772584406535]
[39, 0.32145875, 1.477160444539388, 0.30218833333333334, 1.5101253620529176]
[40, 0.3150029166666667, 1.4897931895284355, 0.2965466666666667, 1.5219612098821005]
[41, 0.3170516666666667, 1.4860064423349002, 0.30043166666666665, 1.51374153620402]
[42, 0.3174383333333333, 1.487084893563787, 0.29850666666666664, 1.5208776429494222]
[43, 0.3163679166666667, 1.4882608352085451, 0.29869833333333334, 1.5165220658747356]
[44, 0.316225, 1.4824555193602542, 0.29923833333333333, 1.514926854133606]
[45, 0.31918416666666666, 1.478166499577562, 0.2991333333333333, 1.515329853630066]
[46, 0.32098958333333333, 1.4759848360815644, 0.29972, 1.516758279469808]
[47, 0.32224458333333333, 1.4746099380063513, 0.3006566666666667, 1.515840763244629]
[48, 0.3204075, 1.4797649963840345, 0.30061, 1.5181100715382894]
[49, 0.3224375, 1.4765445483175914, 0.3031683333333333, 1.5133139784495035]
BoW
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[0, 0.4394033333333333, 1.3015648816660046, 0.4951816666666667, 1.1852200479507446]
[1, 0.50058375, 1.1712798598794143, 0.5080816666666667, 1.1542083647791546]
[2, 0.5150054166666667, 1.140607882338663, 0.525065, 1.119406057065328]
[3, 0.5226845833333333, 1.124365608791113, 0.51258, 1.1461563697560628]
[4, 0.52772625, 1.1131366939900815, 0.529075, 1.1119820191574097]
[5, 0.5307758333333333, 1.1062157730387647, 0.5347983333333334, 1.0979062483596802]
[6, 0.5342645833333334, 1.0994464331021905, 0.53033, 1.1098980810928345]
[7, 0.536105, 1.0950411781432232, 0.5390333333333334, 1.0911551079559325]
